Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TataPower,2010-09-02,96.82555527966281,98.55985788568299,95.86507757279021,98.05045318603516,3870563,0,0
TataPower,2010-09-03,98.76594266382395,98.82038229,97.06274595513104,97.26106262207031,1279251,0,0
TataPower,2010-09-06,97.97656528,100.14250504772394,97.21829636433895,99.71475982666016,3571076,0,0
TataPower,2010-09-07,99.93641125486221,99.93641125486221,98.15933299570689,98.77761078,3195507,0,0
TataPower,2010-09-08,98.66873461960594,100.09195532480025,98.42375627433998,99.08481598,4024083,0,0
TataPower,2010-09-09,99.58642446983619,100.71410675254681,97.60713777675205,97.98432922363281,6096896,0,0
TataPower,2010-09-13,98.76984509418169,99.51645018022452,98.50930465493852,99.17036437988281,4347933,0,0
TataPower,2010-09-14,99.93640012013192,99.93640012013192,97.60324964,98.33430480957031,9679693,0,0
TataPower,2010-09-15,98.17098945409816,98.98758999951713,97.64214297668266,98.66872406,5153276,0,0
TataPower,2010-09-16,98.45874397,99.75752933716122,97.74324470344301,98.51318359,5607237,0,0
TataPower,2010-09-17,98.06990026912484,99.23647262,97.77047613808655,98.3498764,3982198,0,0
TataPower,2010-09-20,98.76984288,98.99537938056191,97.87157664362121,98.31876373291016,4443962,0,0
TataPower,2010-09-21,98.62985111,101.88070385773484,98.03878697311174,101.4646224975586,5692541,0,0
TataPower,2010-09-22,101.9584737544602,102.63508941441769,101.22742460937307,102.26956176757812,4255468,0,0
TataPower,2010-09-23,102.90727270714038,103.04726382995487,102.0556743900649,102.51841735839844,4486894,0,0
TataPower,2010-09-24,102.30844265926761,103.7472193004838,101.98569077593925,103.3505859,3934396,0,0
TataPower,2010-09-27,103.36224814316009,105.51263215510986,101.90014982975345,104.48993682861328,3652598,0,0
TataPower,2010-09-28,104.99155993076853,105.43486110972337,104.06218796758812,104.89046478271484,2053196,0,0
TataPower,2010-09-29,105.03432837964327,106.39143311325441,104.24104945123216,105.0887680053711,2650180,0,0
TataPower,2010-09-30,105.7692787994003,106.46922217639508,103.52167341654318,105.3959732055664,3958033,0,0
TataPower,2010-10-01,104.61049086975922,108.5690653,104.61049086975922,108.18408966064453,3659748,0,0
TataPower,2010-10-04,108.56905165802085,109.81339133284133,107.01361784160784,107.68244934082031,3449337,0,0
TataPower,2010-10-05,107.05639118437412,109.16400549340841,106.9786237948512,108.76737213134766,5602480,0,0
TataPower,2010-10-06,108.76736732272694,110.19446772160872,108.6857017295914,109.13288879394531,6757724,0,0
TataPower,2010-10-07,109.13289786928068,113.93529260022362,108.4912799891756,111.85490417480469,10759746,0,0
TataPower,2010-10-08,112.12323090126654,114.19973368439395,109.76285988264398,110.89054870605469,4718620,0,0
TataPower,2010-10-11,111.60213875503405,111.89766466038975,109.85616009765165,110.64165496826172,2891161,0,0
TataPower,2010-10-12,110.7466436608058,110.7466436608058,109.42452436768507,110.07781219482422,1924836,0,0
TataPower,2010-10-13,109.80950866952195,112.0687718354435,109.80950866952195,111.50881958007812,6151548,0,0
TataPower,2010-10-14,111.60212323409172,112.84646272635942,110.5133184926191,111.3260269165039,4501743,0,0
TataPower,2010-10-15,111.36882170868466,112.84647579545806,109.66562499108362,111.20938873291016,4533463,0,0
TataPower,2010-10-18,110.43556773835793,111.48159074304876,107.94687608207988,108.49517059326172,2886674,0,0
TataPower,2010-10-19,109.23011514828929,109.26899884304913,106.7025397198788,106.92807006835938,2468111,0,0
TataPower,2010-10-20,107.70967698933613,108.70904449247514,106.78030505429115,108.22296142578125,1532501,0,0
TataPower,2010-10-21,107.88855841133015,112.27876383938258,106.78031157837373,111.4038314819336,4355010,0,0
TataPower,2010-10-22,110.17114744851584,111.99099540566739,108.88013988759172,111.0810775756836,2461676,0,0
TataPower,2010-10-25,111.99099817252173,111.99099817252173,109.42453892497666,109.93783569335938,1057659,0,0
